Name,Time,Emotion
Unknown,2024-12-20 09:48:08,Sad
Unknown,2024-12-20 09:48:08,Sad
Unknown,2024-12-20 09:48:09,Sad
Unknown,2024-12-20 09:48:09,Sad
Unknown,2024-12-20 09:48:09,Sad
Unknown,2024-12-20 09:48:10,Sad
Unknown,2024-12-20 09:48:10,Sad
Unknown,2024-12-20 09:48:11,Sad
Unknown,2024-12-20 09:48:11,Sad
Unknown,2024-12-20 09:48:12,Sad
Unknown,2024-12-20 09:48:12,Sad
Unknown,2024-12-20 09:48:13,Sad
Unknown,2024-12-20 09:48:13,Sad
Unknown,2024-12-20 09:48:14,Sad
Unknown,2024-12-20 09:48:14,Sad
Unknown,2024-12-20 09:48:15,Sad
Unknown,2024-12-20 09:48:15,Sad
Unknown,2024-12-20 09:48:16,Sad
Unknown,2024-12-20 09:48:16,Sad
Unknown,2024-12-20 09:48:17,Sad
Unknown,2024-12-20 09:48:17,Sad
Unknown,2024-12-20 09:48:18,Sad
Unknown,2024-12-20 09:48:19,Sad
Unknown,2024-12-20 09:48:20,Sad
Unknown,2024-12-20 09:48:24,Sad
Unknown,2024-12-20 09:48:25,Sad
Unknown,2024-12-20 09:48:25,Sad
Unknown,2024-12-20 09:48:26,Sad
Unknown,2024-12-20 09:48:27,Sad
Unknown,2024-12-20 09:48:28,Sad
Unknown,2024-12-20 09:48:28,Sad
Unknown,2024-12-20 09:48:29,Sad
Unknown,2024-12-20 09:48:29,Sad
Unknown,2024-12-20 09:48:30,Sad
Unknown,2024-12-20 09:48:30,Sad
Unknown,2024-12-20 09:48:31,Sad
Unknown,2024-12-20 09:48:31,Sad
Unknown,2024-12-20 09:48:32,Sad
Unknown,2024-12-20 09:48:32,Sad
Unknown,2024-12-20 09:48:33,Sad
Unknown,2024-12-20 09:48:33,Sad
Unknown,2024-12-20 09:48:34,Sad
Unknown,2024-12-20 09:48:34,Sad
Unknown,2024-12-20 09:48:35,Sad
Unknown,2024-12-20 09:48:35,Sad
Unknown,2024-12-20 09:48:36,Sad
Unknown,2024-12-20 09:48:36,Sad
Unknown,2024-12-20 09:48:36,Sad
Unknown,2024-12-20 09:48:37,Sad
Unknown,2024-12-20 09:48:37,Sad
Unknown,2024-12-20 09:48:38,Sad
Unknown,2024-12-20 09:48:38,Sad
Unknown,2024-12-20 09:48:39,Sad
Unknown,2024-12-20 09:48:39,Sad
Unknown,2024-12-20 09:48:40,Sad
